"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11098","Test Fail Login with valid credential","","2026-08-07","failed","2026-08-07","","tests\testFail.spec.ts","",""
"","7845","Login with valid credential","","2026-08-07","passed","2026-08-07","","tests\login.spec.ts","",""
"","6454","Logout","","2026-08-07","passed","2026-08-07","","tests\logout.spec.ts","",""
"","7940","Sign In","","2026-08-07","passed","2026-08-07","","tests\signIn.spec.ts","",""
"","21059","checkout 2 items","","2026-08-07","passed","2026-08-07","","tests\products.spec.ts","",""
"","5534","Sign In use registered email","","2026-08-07","passed","2026-08-07","","tests\signIn.spec.ts","",""
"","13076","Checkout without input order message","","2026-08-07","passed","2026-08-07","","tests\products.spec.ts","",""
"","6012","Sign In without input name and email","","2026-08-07","passed","2026-08-07","","tests\signIn.spec.ts","",""
"","18692","Delete account","","2026-08-07","passed","2026-08-07","","tests\deleteAccount.spec.ts","",""
"","7220","Login with unregistered email","","2026-08-07","passed","2026-08-07","","tests\login.spec.ts","",""
"","5432","Login with wrong password","","2026-08-07","passed","2026-08-07","","tests\login.spec.ts","",""
"","10986","Checkout without input payment details","","2026-08-07","passed","2026-08-07","","tests\products.spec.ts","",""
"","15720","Checkout without input card number","","2026-08-07","passed","2026-08-07","","tests\products.spec.ts","",""
"","4493","Login with invalid email","","2026-08-07","passed","2026-08-07","","tests\login.spec.ts","",""
"","16175","Checkout flow","","2026-08-07","passed","2026-08-07","","tests\products.spec.ts","",""
"","6899","Sign In without input account information","","2026-08-07","passed","2026-08-07","","tests\signIn.spec.ts","",""
"","6786","Sign In without input first name","","2026-08-07","passed","2026-08-07","","tests\signIn.spec.ts","",""
"","8730","Sign In with invalid email","","2026-08-07","passed","2026-08-07","","tests\signIn.spec.ts","",""
"","4347","Login without input email and password","","2026-08-07","passed","2026-08-07","","tests\login.spec.ts","",""
