"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4941","Delete account","","2026-08-27","passed","2026-08-27","","tests/deleteAccount.spec.ts","",""
"","2282","Sign In without input name and email","","2026-08-27","passed","2026-08-27","","tests/signIn.spec.ts","",""
"","3016","Login with unregistered email","","2026-08-27","passed","2026-08-27","","tests/login.spec.ts","",""
"","5614","Checkout without input payment details","","2026-08-27","passed","2026-08-27","","tests/products.spec.ts","",""
"","7716","Test Fail Login with valid credential","","2026-08-27","failed","2026-08-27","","tests/testFail.spec.ts","",""
"","6644","Checkout flow","","2026-08-27","passed","2026-08-27","","tests/products.spec.ts","",""
"","2754","Sign In use registered email","","2026-08-27","passed","2026-08-27","","tests/signIn.spec.ts","",""
"","3492","Logout","","2026-08-27","passed","2026-08-27","","tests/logout.spec.ts","",""
"","2365","Sign In without input account information","","2026-08-27","passed","2026-08-27","","tests/signIn.spec.ts","",""
"","2821","Sign In with invalid email","","2026-08-27","passed","2026-08-27","","tests/signIn.spec.ts","",""
"","3603","Login with valid credential","","2026-08-27","passed","2026-08-27","","tests/login.spec.ts","",""
"","2905","Login with invalid email","","2026-08-27","passed","2026-08-27","","tests/login.spec.ts","",""
"","5225","Checkout without input order message","","2026-08-27","passed","2026-08-27","","tests/products.spec.ts","",""
"","3925","Sign In","","2026-08-27","passed","2026-08-27","","tests/signIn.spec.ts","",""
"","3030","Login with wrong password","","2026-08-27","passed","2026-08-27","","tests/login.spec.ts","",""
"","4617","Checkout without input card number","","2026-08-27","passed","2026-08-27","","tests/products.spec.ts","",""
"","7640","checkout 2 items","","2026-08-27","passed","2026-08-27","","tests/products.spec.ts","",""
"","2665","Login without input email and password","","2026-08-27","passed","2026-08-27","","tests/login.spec.ts","",""
"","2729","Sign In without input first name","","2026-08-27","passed","2026-08-27","","tests/signIn.spec.ts","",""
